Country,Area,Storks,Humans,BirthRate,SuitableAreaPercent
Albania,28750,100,3.2,83,55.68
Austria,83860,300,7.6,87,38.34
Belgium,30520,1,9.9,118,65.93
Bulgaria,111000,5000,9,117,57.99
Denmark,43100,9,5.1,59,81.46
France,544000,140,56,774,58.47
Germany,357000,3300,78,901,59.81
Greece,132000,2500,10,106,47.31
Holland,41900,4,15,188,70.96
Hungary,93000,5000,11,124,75.86
Italy,301280,5,57,551,60.3
Poland,312680,30000,38,610,64.09
Portugal,92390,1500,10,120,52.51
Romania,237500,5000,23,367,62.49
Spain,504750,8000,39,439,59.57
Switzerland,41290,150,6.7,82,43.19
Turkey,779450,25000,56,1576,65.97